Index,Model,Region,Scenario,Sigma,Value,Year
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1967.73999023,2081
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2033.27124023,2083
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,6086.04467773,2084
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1526.09155273,2085
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2124.70092773,2086
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,5156.20092773,2088
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3642.28686523,2092
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,5528.20092773,2094
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3052.78686523,2095
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3769.45874023,2096
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2374.02905273,2097
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,658.333740234,2099
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,5773.25561523,2100
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,58.2221679688,2037
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,1192.55810547,2053
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,252.464355469,2055
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,313.644042969,2065
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,1040.96435547,2067
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,64.9252929688,2075
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,3818.97998047,2080
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,2024.94091797,2084
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,1095.09716797,2088
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,1467.09716797,2094
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,2,1712.15185547,2100
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3705.09936523,1973
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1953.50561523,1974
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,18.6384277344,1977
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2421.86499023,1993
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,26.9274902344,2006
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,214.935302734,2008
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4280.56030273,2011
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,962.224365234,2012
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1577.13842773,2017
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,80.5681152344,2019
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,846.708740234,2020
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,949.404052734,2021
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1203.93530273,2022
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,6144.02905273,2028
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2397.33374023,2029
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1274.27905273,2030
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2886.41186523,2031
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3245.03686523,2032
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1235.91967773,2036
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4845.64624023,2037
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1412.86499023,2039
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,920.927490234,2040
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,474.099365234,2042
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2313.07592773,2048
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4139.37280273,2049
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3952.23217773,2052
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4774.23999023,2053
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,693.122802734,2054
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2619.03686523,2055
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3547.07592773,2056
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3114.18530273,2057
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,705.513427734,2059
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3618.42749023,2061
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1207.34936523,2062
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3425.13842773,2063
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1785.66186523,2064
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3388.89624023,2065
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1487.37280273,2066
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,5650.06811523,2067
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,300.779052734,2070
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4191.44311523,2071
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2856.24780273,2072
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3413.01342773,2073
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1761.90405273,2074
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,5403.69311523,2075
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,5103.59155273,2076
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4379.26342773,2077
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,7105.14624023,2080
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2505.21655273,2081
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,5552.56030273,2083
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,6054.75561523,2084
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,39.5759277344,2085
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2501.46655273,2086
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,5084.02124023,2088
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,2523.53686523,2089
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3365.53686523,2092
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,5287.38842773,2094
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4066.78686523,2095
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,4686.90405273,2096
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,3730.58374023,2097
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,897.732177734,2098
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,1955.40405273,2099
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,1,6109.28686523,2100
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,219.456542969,2011
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,2082.92529297,2028
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,784.542480469,2037
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,78.2690429688,2049
