Index,Model,Percentile,Region,Scenario,Season,Value,Year
10,3,10,4,rcp45,DJF,-3.48293361664,2068
10,3,10,4,rcp45,DJF,-3.56960020065,2073
10,3,10,4,rcp45,DJF,-0.89759979248,2074
10,3,10,4,rcp45,DJF,-0.760266876221,2078
10,3,10,4,rcp45,DJF,-2.95360002518,2079
10,3,10,4,rcp45,DJF,-1.32160005569,2080
10,3,10,4,rcp45,DJF,-2.23626670837,2082
10,3,10,4,rcp45,DJF,-0.582933044434,2086
10,3,10,4,rcp45,DJF,-1.70826683044,2093
10,3,10,4,rcp45,DJF,-0.806933021545,2094
10,3,10,4,rcp45,DJF,-0.446933364868,2098
10,3,10,4,rcp45,DJF,-4.09893331528,2099
10,3,10,4,rcp45,DJF,-1.40560016632,2100
10,4,90,4,rcp45,DJF,0.399199295044,2061
10,4,10,4,rcp45,DJF,-0.958933448792,1973
10,4,10,4,rcp45,DJF,-0.222933387756,1974
10,4,10,4,rcp45,DJF,-0.577600097656,1982
10,4,10,4,rcp45,DJF,-2.8922668457,1988
10,4,10,4,rcp45,DJF,-3.88560018539,1992
10,4,10,4,rcp45,DJF,-3.30560026169,1994
10,4,10,4,rcp45,DJF,-2.58826694489,1996
10,4,10,4,rcp45,DJF,-2.10426673889,1998
10,4,10,4,rcp45,DJF,-1.96960029602,2000
10,4,10,4,rcp45,DJF,-0.781600570679,2002
10,4,10,4,rcp45,DJF,-1.53626689911,2008
10,4,10,4,rcp45,DJF,-0.17893371582,2009
10,4,10,4,rcp45,DJF,-4.32160005569,2011
10,4,10,4,rcp45,DJF,-3.66426668167,2014
10,4,10,4,rcp45,DJF,-0.906933403015,2018
10,4,10,4,rcp45,DJF,-1.87226686478,2019
10,4,10,4,rcp45,DJF,-0.585600471497,2022
10,4,10,4,rcp45,DJF,-3.11226663589,2023
10,4,10,4,rcp45,DJF,-0.813600158691,2025
10,4,10,4,rcp45,DJF,-1.73226699829,2026
10,4,10,4,rcp45,DJF,-0.0202671051025,2028
10,4,10,4,rcp45,DJF,-0.345599746704,2030
10,4,10,4,rcp45,DJF,-0.153600311279,2034
10,4,10,4,rcp45,DJF,-3.07093343735,2039
10,4,10,4,rcp45,DJF,-0.365600204468,2040
10,4,10,4,rcp45,DJF,-3.2562666893,2042
10,4,10,4,rcp45,DJF,-0.696266746521,2043
10,4,10,4,rcp45,DJF,-3.23626670837,2044
10,4,10,4,rcp45,DJF,-0.577600097656,2047
10,4,10,4,rcp45,DJF,-3.50826702118,2048
10,4,10,4,rcp45,DJF,-2.44560012817,2049
10,4,10,4,rcp45,DJF,-0.820266342163,2052
10,4,10,4,rcp45,DJF,-3.08559999466,2055
10,4,10,4,rcp45,DJF,-4.84293327332,2059
10,4,10,4,rcp45,DJF,-0.182933425903,2067
10,4,10,4,rcp45,DJF,-0.434933280945,2068
10,4,10,4,rcp45,DJF,-1.80560026169,2070
10,4,10,4,rcp45,DJF,-4.23493347168,2074
10,4,10,4,rcp45,DJF,-1.79893360138,2075
10,4,10,4,rcp45,DJF,-2.67093334198,2076
10,4,10,4,rcp45,DJF,-1.43493328094,2077
10,4,10,4,rcp45,DJF,-1.49893341064,2078
10,4,10,4,rcp45,DJF,-4.42026672363,2083
10,4,10,4,rcp45,DJF,-0.618933296204,2090
10,4,10,4,rcp45,DJF,-2.33893356323,2091
10,4,10,4,rcp45,DJF,-2.08160028458,2097
10,4,10,4,rcp45,DJF,-2.79493341446,2098
10,4,10,4,rcp45,DJF,-2.00026664734,2099
